Товар;Белки;Жиры;Углеводы;Калорийность
Белые свежие;3,20;0,70;1,60;25,00
Белые сушеные;27,60;6,80;10,00;209,00
Подберезовики свежие;2,30;0,90;3,70;31,00
Подосиновики свежие;3,30;0,50;3,40;31,00
Баранина;16,30;15,30;0,00;203,00
Говядина;18,90;12,40;0,00;187,00
Конина;20,20;7,00;0,00;143,00
Кролик;20,70;12,90;0,00;199,00
Свинина нежирная;16,40;27,80;0,00;316,00
Свинина жирная;11,40;49,30;0,00;489,00
Телятина;19,70;1,20;0,00;90,00
Говяжья Печень;17,40;3,10;0,00;98,00
Говяжьи Почки;12,50;1,80;0,00;66,00
Говяжье Вымя;12,30;13,70;0,00;173,00
Говяжье Сердце;15,00;3,00;0,00;87,00
Говяжий Язык;13,60;12,10;0,00;163,00
Почки свиные;13,00;3,10;0,00;80,00
Печень свиная;18,80;3,60;0,00;108,00
Сердце свиное;15,10;3,20;0,00;89,00
Язык свиной;14,20;16,80;0,00;208,00
Гуси;16,10;33,30;0,00;364,00
Индейка;21,60;12,00;0,80;197,00
Куры;20,80;8,80;0,60;165,00
Цыплята;18,70;7,80;0,40;156,00
Утки;16,50;61,20;0,00;346,00
Вареная колбаса Диабетическая;12,10;22,80;0,00;254,00
Вареная колбаса Диетическая;12,10;13,50;0,00;170,00
Вареная колбаса Докторская;13,70;22,80;0,00;260,00
Вареная колбаса Любительская;12,20;28,00;0,00;301,00
Вареная колбаса Молочная;11,70;22,80;0,00;252,00
Вареная колбаса Отдельная;10,10;20,10;1,80;228,00
Вареная колбаса Телячья;12,50;29,60;0,00;316,00
Сардельки Свиные;10,10;31,60;1,90;332,00
Сосиски Молочные;12,30;25,30;0,00;277,00
Сосиски Русские;12,00;19,10;0,00;220,00
Сосиски Свиные;11,80;30,80;0,00;324,00
Варено-копченая Любительская;17,30;39,00;0,00;420,00
Варено-копченая Сервелат;28,20;27,50;0,00;360,00
Полукопченая Краковская;16,20;44,60;0,00;466,00
Полукопченая Минская;23,00;17,40;2,70;259,00
Полукопченая Полтавская;16,40;39,00;0,00;417,00
Полукопченая Украинская;16,50;34,40;0,00;376,00
Сырокопченая Любительская;20,90;47,80;0,00;514,00
Сырокопченая Московская;24,80;41,50;0,00;473,00
Говядина тушеная;16,80;18,30;0,00;232,00
Свинина тушеная;14,90;32,20;0,00;349,00
Грудинка сырокопченая;7,60;66,80;0,00;632,00
Корейка сырокопченая;10,50;47,20;0,00;467,00
Ветчина;22,60;20,90;0,00;279,00
Яйцо куриное;12,70;10,90;0,70;157,00
Яичный порошок;45,00;37,30;7,10;542,00
Сухой белок;73,30;1,80;7,00;336,00
Сухой желток;34,20;52,20;4,40;623,00
Яйцо перепелиное;11,90;13,10;0,60;168,00
Горбуша;20,50;6,50;0,00;142,00
Камбала;16,50;1,80;0,00;83,00
Карась;17,70;1,80;0,00;112,00
Карп;16,00;45082,00;0,00;96,00
Кета;22,00;45082,00;0,00;138,00
Корюшка;45031,00;45050,00;0,00;102,00
Лещ;44943,00;44930,00;0,00;105,00
Семга;45158,00;44941,00;0,00;219,00
Макрурус;44970,00;#ЗНАЧ!;0,00;60,00
Минтай;45184,00;#ЗНАЧ!;0,00;70,00
Мойва;45029,00;45057,00;0,00;157,00
Навага;44942,00;1,00;0,00;73,00
Налим;45156,00;#ЗНАЧ!;0,00;81,00
Окунь морской;45094,00;44962,00;0,00;117,00
Окунь речной;45064,00;#ЗНАЧ!;0,00;82,00
Осетр;45032,00;45179,00;0,00;164,00
Палтус;45187,00;3,00;0,00;103,00
Путассу;44942,00;#ЗНАЧ!;0,00;72,00
Сазан;45034,00;44990,00;0,00;121,00
Сайра крупная;45095,00;45158,00;0,00;262,00
Сайра мелкая;45036,00;#ЗНАЧ!;0,00;143,00
Салака;45002,00;45082,00;0,00;121,00
Сельдь;45124,00;45065,00;0,00;242,00
Сиг;19,00;45053,00;0,00;144,00
Скумбрия;18,00;9,00;0,00;153,00
Сом;45154,00;45054,00;0,00;144,00
Ставрида;45064,00;5,00;0,00;119,00
Стерлядь;17,00;44932,00;0,00;320,00
Судак;19,00;#ЗНАЧ!;0,00;83,00
Треска;45063,00;#ЗНАЧ!;0,00;75,00
Тунец;22,70;0,70;0,00;96,00
Угольная рыба;44970,00;45088,00;0,00;158,00
Угорь морской;44945,00;45170,00;0,00;94,00
Угорь;45060,00;45076,00;0,00;333,00
Хек;45093,00;44959,00;0,00;86,00
Щука;45034,00;#ЗНАЧ!;0,00;82,00
Язь;44975,00;1,00;0,00;81,00
Печень трески;4,20;65,70;0,00;613,00
Кальмар;18,00;0,30;0,00;75,00
Краб;16,00;0,50;0,00;69,00
Креветка;18,00;0,80;0,00;83,00
Морская капуста;0,80;0,20;3,00;5,00
Фундук;16,10;66,90;9,90;704,00
Миндаль;18,60;57,70;13,60;645,00
Грецкий орех;15,20;61,30;10,20;648,00
Арахис;26,30;45,20;9,70;548,00
Семя подсолнечника;20,70;52,90;5,00;578,00
Мед;0,80;0,00;80,30;308,00
Зефир;0,80;0,00;78,30;299,00
Мармелад;4,30;0,10;77,70;296,00
Карамель;0,00;0,10;77,70;296,00
Конфеты шоколадные;4,30;39,50;54,20;596,00
Пастила;0,50;0,00;80,40;305,00
Сахар-песок;0,00;0,00;99,50;374,00
Халва подсолнечная;11,60;29,70;54,00;516,00
Шоколад темный;6,90;35,30;52,60;540,00
Шоколад молочный;6,90;35,70;52,40;547,00
Вафли с фр-ми начинками;3,20;2,80;80,90;350,00
Вафли с жировыми начинками;3,40;30,20;64,70;539,00
Пирожное трубочка с кремом;1,70;25,20;50,90;454,00
Пирожное воздушное;3,10;16,30;68,50;419,00
Пряники;5,80;6,50;71,60;364,00
Торт ассорти;4,70;15,00;36,00;294,00
Торт Прага;4,60;26,50;65,10;517,00
