Товар;Категория
Камбала;Рыба свежая и морепродукты
Карась;Рыба свежая и морепродукты
Карп;Рыба свежая и морепродукты
Кета;Рыба свежая и морепродукты
Корюшка;Рыба свежая и морепродукты
Лещ;Рыба свежая и морепродукты
Семга;Рыба свежая и морепродукты
Макрурус;Рыба свежая и морепродукты
Минтай;Рыба свежая и морепродукты
Мойва;Рыба свежая и морепродукты
Навага;Рыба свежая и морепродукты
Налим;Рыба свежая и морепродукты
Окунь морской;Рыба свежая и морепродукты
Окунь речной;Рыба свежая и морепродукты
Осетр;Рыба свежая и морепродукты
Палтус;Рыба свежая и морепродукты
Путассу;Рыба свежая и морепродукты
Сазан;Рыба свежая и морепродукты
Сайра крупная;Рыба свежая и морепродукты
Сайра мелкая;Рыба свежая и морепродукты
Салака;Рыба свежая и морепродукты
Сельдь;Рыба свежая и морепродукты
Сиг;Рыба свежая и морепродукты
Скумбрия;Рыба свежая и морепродукты
Сом;Рыба свежая и морепродукты
Ставрида;Рыба свежая и морепродукты
Стерлядь;Рыба свежая и морепродукты
Судак;Рыба свежая и морепродукты
Треска;Рыба свежая и морепродукты
Тунец;Рыба свежая и морепродукты
Угольная рыба;Рыба свежая и морепродукты
Угорь морской;Рыба свежая и морепродукты
Угорь;Рыба свежая и морепродукты
Хек;Рыба свежая и морепродукты
Щука;Рыба свежая и морепродукты
Язь;Рыба свежая и морепродукты
Печень трески;Рыба свежая и морепродукты
Кальмар;Рыба свежая и морепродукты
Краб;Рыба свежая и морепродукты
Креветка;Рыба свежая и морепродукты
Морская капуста;Рыба свежая и морепродукты
Фундук;Орехи
Миндаль;Орехи
Грецкий орех;Орехи
Арахис;Орехи
Семя подсолнечника;Орехи
Мед;Сладости
Зефир;Сладости
Мармелад;Сладости
Карамель;Сладости
Конфеты шоколадные;Сладости
Пастила;Сладости
Сахар-песок;Сладости
Халва подсолнечная;Сладости
Шоколад темный;Сладости
Шоколад молочный;Сладости
Вафли с фр-ми начинками;Сладости
Вафли с жировыми начинками;Сладости
Пирожное трубочка с кремом;Сладости
Пирожное воздушное;Сладости
Пряники;Сладости
Торт ассорти;Сладости
Торт Прага;Сладости
